Arabic,English
لا ,no
من ,From
في ,in
أن ,that
هذا ,this
على ,on me
ما ,What
أنا ,I
هل ,Do you
و ,And the
يا ,Hey
ذلك ,that
لقد ,l have
لم ,did not
ماذا ,what
هنا ,over here
كان ,It was
أنت ,You are
إلى ,to me
هو ,he is
هذه ,this is
عن ,About
ان ,that
نعم ,yes
هناك ,there
كل ,All
ليس ,Not
كنت ,I was
فقط ,Just
الآن ,right Now
مع ,with
شيء ,something
الذي ,that
لكن ,but
يجب ,Should
لك ,for you
لن ,will not
كيف ,How
أجل ,Yes
انا ,I
حسنا ,Good
فى ,in
لي ,Mine
نحن ,we
سوف ,Will
إنه ,it's a
كانت ,she was
عندما ,When
إذا ,if
لماذا ,Why
أي ,Which
قد ,may be
أنه ,it's a
الأمر ,Order
هي ,she
بعد ,distance
كذلك ,like that
حتى ,until
انه ,it's a
قبل ,Before
أو ,or
لو ,if
أين ,where
التي ,that
الى ,to me
ولكن ,But
هيا ,Come on
تلك ,That
ربما ,Probably
إنها ,that it
أعرف ,I know
بعض ,some
يكون ,is being
أريد ,I Wanna
انت ,you
إن ,that
أعتقد ,I believe
مثل ,Such as
عليك ,upon you
به ,with it
بخير ,Fine
أنك ,You are
صحيح ,Right
الوقت ,the time
أحد ,One
شخص ,person
رجل ,man
أعلم ,Know
جيد ,Good
أكثر ,more
تكون ,Formation
علي ,On
يمكن ,Can
لذا ,So
كما ,as such
اليوم ,today
يبدو ,It seems
أليس ,Alice
انها ,that it
